"time","T_Out_ext","T_amb_ext","u_ext"
302.5,33.9098,20,4
303,33.9118,20,4
303.5,33.9137,20,4
304,33.9156,20,4
304.5,33.9174,20,4
305,33.9192,20,4
305.5,33.921,20,4
306,33.9227,20,4
306.5,33.9244,20,4
307,33.926,20,4
307.5,33.9276,20,4
308,33.9292,20,4
308.5,33.9307,20,4
309,33.9322,20,4
309.5,33.9337,20,4
310,33.9351,20,4
310.5,33.9366,20,4
311,33.9379,20,4
311.5,33.9393,20,4
312,33.9406,20,4
312.5,33.9419,20,4
313,33.9432,20,4
313.5,33.9444,20,4
314,33.9456,20,4
314.5,33.9468,20,4
315,33.9479,20,4
315.5,33.9491,20,4
316,33.9502,20,4
316.5,33.9513,20,4
317,33.9523,20,4
317.5,33.9534,20,4
318,33.9544,20,4
318.5,33.9554,20,4
319,33.9563,20,4
319.5,33.9573,20,4
320,33.9582,20,4
320.5,33.9591,20,4
321,33.96,20,4
321.5,33.9609,20,4
322,33.9617,20,4
322.5,33.9626,20,4
323,33.9634,20,4
323.5,33.9642,20,4
324,33.965,20,4
324.5,33.9657,20,4
325,33.9665,20,4
325.5,33.9672,20,4
326,33.9679,20,4
326.5,33.9686,20,4
327,33.9693,20,4
327.5,33.97,20,4
328,33.9706,20,4
328.5,33.9712,20,4
329,33.9719,20,4
329.5,33.9725,20,4
330,33.9731,20,4
330.5,33.9737,20,4
331,33.9742,20,4
331.5,33.9748,20,4
332,33.9753,20,4
332.5,33.9759,20,4
333,33.9764,20,4
333.5,33.9769,20,4
334,33.9774,20,4
334.5,33.9779,20,4
335,33.9784,20,4
335.5,33.9789,20,4
336,33.9793,20,4
336.5,33.9798,20,4
337,33.9802,20,4
337.5,33.9806,20,4
338,33.9811,20,4
338.5,33.9815,20,4
339,33.9819,20,4
339.5,33.9823,20,4
340,33.9827,20,4
340.5,33.983,20,4
341,33.9834,20,4
341.5,33.9838,20,4
342,33.9841,20,4
342.5,33.9845,20,4
343,33.9848,20,4
343.5,33.9851,20,4
344,33.9855,20,4
344.5,33.9858,20,4
345,33.9861,20,4
345.5,33.9864,20,4
346,33.9867,20,4
346.5,33.987,20,4
347,33.9872,20,4
347.5,33.9875,20,4
348,33.9878,20,4
348.5,33.9881,20,4
349,33.9883,20,4
349.5,33.9886,20,4
350,33.9888,20,4
350.5,33.9891,20,4
351,33.9893,20,4
351.5,33.9895,20,4
352,33.9898,20,4
352.5,33.99,20,4
353,33.9902,20,4
353.5,33.9904,20,4
354,33.9906,20,4
354.5,33.9908,20,4
355,33.991,20,4
355.5,33.9912,20,4
356,33.9914,20,4
356.5,33.9916,20,4
357,33.9918,20,4
357.5,33.992,20,4
358,33.9921,20,4
358.5,33.9923,20,4
359,33.9925,20,4
359.5,33.9926,20,4
360,33.9928,20,4
360.5,33.993,20,4
361,33.9931,20,4
361.5,33.9933,20,4
362,33.9934,20,4
362.5,33.9935,20,4
363,33.9937,20,4
363.5,33.9938,20,4
364,33.994,20,4
364.5,33.9941,20,4
365,33.9942,20,4
365.5,33.9943,20,4
366,33.9945,20,4
366.5,33.9946,20,4
367,33.9947,20,4
367.5,33.9948,20,4
368,33.9949,20,4
368.5,33.995,20,4
369,33.9952,20,4
369.5,33.9953,20,4
370,33.9954,20,4
370.5,33.9955,20,4
371,33.9956,20,4
371.5,33.9957,20,4
372,33.9958,20,4
372.5,33.9958,20,4
373,33.9959,20,4
373.5,33.996,20,4
374,33.9961,20,4
374.5,33.9962,20,4
375,33.9963,20,4
375.5,33.9964,20,4
376,33.9964,20,4
376.5,33.9965,20,4
377,33.9966,20,4
377.5,33.9967,20,4
378,33.9967,20,4
378.5,33.9968,20,4
379,33.9969,20,4
379.5,33.9969,20,4
380,33.997,20,4
380.5,33.9971,20,4
381,33.9971,20,4
381.5,33.9972,20,4
382,33.9973,20,4
382.5,33.9973,20,4
383,33.9974,20,4
383.5,33.9974,20,4
384,33.9975,20,4
384.5,33.9975,20,4
385,33.9976,20,4
385.5,33.9977,20,4
386,33.9977,20,4
386.5,33.9978,20,4
387,33.9978,20,4
387.5,33.9979,20,4
388,33.9979,20,4
388.5,33.9979,20,4
389,33.998,20,4
389.5,33.998,20,4
390,33.9981,20,4
390.5,33.9981,20,4
391,33.9982,20,4
391.5,33.9982,20,4
392,33.9982,20,4
392.5,33.9983,20,4
393,33.9983,20,4
393.5,33.9983,20,4
394,33.9984,20,4
394.5,33.9984,20,4
395,33.9985,20,4
395.5,33.9985,20,4
396,33.9985,20,4
396.5,33.9986,20,4
397,33.9986,20,4
397.5,33.9986,20,4
398,33.9986,20,4
398.5,33.9987,20,4
399,33.9987,20,4
399.5,33.9987,20,4
400,33.9988,20,4
400.5,33.9988,20,1
401,33.9988,20,1
401.5,33.9988,20,1
402,33.9989,20,1
402.5,33.9989,20,1
403,33.9989,20,1
403.5,33.8847,20,1
404,33.659,20,1
404.5,33.4381,20,1
405,33.2221,20,1
405.5,33.0107,20,1
406,32.804,20,1
406.5,32.6017,20,1
407,32.4038,20,1
407.5,32.2103,20,1
408,32.0209,20,1
408.5,31.8357,20,1
409,31.6545,20,1
409.5,31.4772,20,1
410,31.3038,20,1
410.5,31.1341,20,1
411,30.9682,20,1
411.5,30.8058,20,1
412,30.647,20,1
412.5,30.4916,20,1
413,30.3397,20,1
413.5,30.191,20,1
414,30.0455,20,1
414.5,29.9032,20,1
415,29.764,20,1
415.5,29.6278,20,1
416,29.4946,20,1
416.5,29.3643,20,1
417,29.2368,20,1
417.5,29.1121,20,1
418,28.9901,20,1
418.5,28.8708,20,1
419,28.754,20,1
419.5,28.6398,20,1
420,28.528,20,1
420.5,28.4187,20,1
421,28.3118,20,1
421.5,28.2072,20,1
422,28.1049,20,1
422.5,28.0048,20,1
423,27.9068,20,1
423.5,27.811,20,1
424,27.7173,20,1
424.5,27.6256,20,1
425,27.536,20,1
425.5,27.4482,20,1
426,27.3624,20,1
426.5,27.2784,20,1
427,27.1963,20,1
427.5,27.1159,20,1
428,27.0373,20,1
428.5,26.9604,20,1
429,26.8852,20,1
429.5,26.8116,20,1
430,26.7396,20,1
430.5,26.6692,20,1
431,26.6003,20,1
431.5,26.5329,20,1
432,26.467,20,1
432.5,26.4025,20,1
433,26.3394,20,1
433.5,26.2776,20,1
434,26.2173,20,1
434.5,26.1582,20,1
435,26.1004,20,1
435.5,26.0439,20,1
436,25.9886,20,1
436.5,25.9345,20,1
437,25.8815,20,1
437.5,25.8298,20,1
438,25.7791,20,1
438.5,25.7296,20,1
439,25.6811,20,1
439.5,25.6337,20,1
440,25.5873,20,1
440.5,25.5419,20,1
441,25.4975,20,1
441.5,25.4541,20,1
442,25.4116,20,1
442.5,25.3701,20,1
443,25.3294,20,1
443.5,25.2897,20,1
444,25.2508,20,1
444.5,25.2127,20,1
445,25.1755,20,1
445.5,25.139,20,1
446,25.1034,20,1
446.5,25.0685,20,1
447,25.0344,20,1
447.5,25.0011,20,1
448,24.9685,20,1
448.5,24.9365,20,1
449,24.9053,20,1
449.5,24.8748,20,1
450,24.8449,20,1
450.5,24.8156,20,1
451,24.787,20,1
451.5,24.7591,20,1
452,24.7317,20,1
452.5,24.7049,20,1
453,24.6787,20,1
453.5,24.6531,20,1
454,24.628,20,1
454.5,24.6035,20,1
455,24.5795,20,1
455.5,24.556,20,1
456,24.5331,20,1
456.5,24.5106,20,1
457,24.4887,20,1
457.5,24.4672,20,1
458,24.4461,20,1
458.5,24.4256,20,1
459,24.4055,20,1
459.5,24.3858,20,1
460,24.3665,20,1
460.5,24.3477,20,1
461,24.3292,20,1
461.5,24.3112,20,1
462,24.2936,20,1
462.5,24.2763,20,1
463,24.2595,20,1
463.5,24.2429,20,1
464,24.2268,20,1
464.5,24.211,20,1
465,24.1955,20,1
465.5,24.1804,20,1
466,24.1656,20,1
466.5,24.1512,20,1
467,24.137,20,1
467.5,24.1232,20,1
468,24.1096,20,1
468.5,24.0964,20,1
469,24.0834,20,1
469.5,24.0707,20,1
470,24.0583,20,1
470.5,24.0462,20,1
471,24.0343,20,1
471.5,24.0227,20,1
472,24.0113,20,1
472.5,24.0002,20,1
473,23.9893,20,1
473.5,23.9787,20,1
474,23.9683,20,1
474.5,23.9581,20,1
475,23.9481,20,1
475.5,23.9384,20,1
476,23.9289,20,1
476.5,23.9195,20,1
477,23.9104,20,1
477.5,23.9015,20,1
478,23.8928,20,1
478.5,23.8842,20,1
479,23.8759,20,1
479.5,23.8677,20,1
480,23.8597,20,1
480.5,23.8519,20,1
481,23.8442,20,1
481.5,23.8368,20,1
482,23.8294,20,1
482.5,23.8223,20,1
483,23.8153,20,1
483.5,23.8084,20,1
484,23.8017,20,1
484.5,23.7952,20,1
485,23.7887,20,1
485.5,23.7825,20,1
486,23.7763,20,1
486.5,23.7703,20,1
487,23.7644,20,1
487.5,23.7587,20,1
488,23.7531,20,1
488.5,23.7476,20,1
489,23.7422,20,1
489.5,23.7369,20,1
490,23.7318,20,1
490.5,23.7267,20,1
491,23.7218,20,1
491.5,23.717,20,1
492,23.7123,20,1
492.5,23.7076,20,1
493,23.7031,20,1
493.5,23.6987,20,1
494,23.6944,20,1
494.5,23.6902,20,1
495,23.686,20,1
495.5,23.682,20,1
496,23.678,20,1
496.5,23.6742,20,1
497,23.6704,20,1
497.5,23.6667,20,1
498,23.6631,20,1
498.5,23.6595,20,1
499,23.656,20,1
499.5,23.6526,20,1
500,23.6493,20,1
500.5,23.6461,20,1
501,23.6429,20,1
501.5,23.6398,20,1
502,23.6368,20,1
502.5,23.6338,20,1
503,23.6309,20,1
503.5,23.628,20,1
504,23.6253,20,1
504.5,23.6225,20,1
505,23.6199,20,1
505.5,23.6173,20,1
506,23.6147,20,1
506.5,23.6122,20,1
507,23.6098,20,1
507.5,23.6074,20,1
508,23.6051,20,1
508.5,23.6028,20,1
509,23.6005,20,1
509.5,23.5984,20,1
510,23.5962,20,1
510.5,23.5941,20,1
511,23.592,20,1
511.5,23.59,20,1
512,23.588,20,1
512.5,23.5861,20,1
513,23.5842,20,1
513.5,23.5824,20,1
514,23.5805,20,1
514.5,23.5788,20,1
515,23.577,20,1
515.5,23.5754,20,1
516,23.5737,20,1
516.5,23.5721,20,1
517,23.5705,20,1
517.5,23.5689,20,1
518,23.5674,20,1
518.5,23.5659,20,1
519,23.5645,20,1
519.5,23.5631,20,1
520,23.5617,20,1
520.5,23.5603,20,1
521,23.559,20,1
521.5,23.5577,20,1
522,23.5564,20,1
522.5,23.5552,20,1
523,23.554,20,1
523.5,23.5528,20,1
524,23.5516,20,1
524.5,23.5505,20,1
525,23.5494,20,1
525.5,23.5483,20,1
526,23.5472,20,1
526.5,23.5462,20,1
527,23.5452,20,1
527.5,23.5442,20,1
528,23.5432,20,1
528.5,23.5423,20,1
529,23.5413,20,1
529.5,23.5404,20,1
530,23.5395,20,1
530.5,23.5387,20,1
531,23.5378,20,1
531.5,23.537,20,1
532,23.5362,20,1
532.5,23.5354,20,1
533,23.5346,20,1
533.5,23.5338,20,1
534,23.5331,20,1
534.5,23.5324,20,1
535,23.5317,20,1
535.5,23.531,20,1
536,23.5303,20,1
536.5,23.5296,20,1
537,23.529,20,1
537.5,23.5283,20,1
538,23.5277,20,1
538.5,23.5271,20,1
539,23.5265,20,1
539.5,23.5259,20,1
540,23.5254,20,1
540.5,23.5248,20,1
541,23.5242,20,1
541.5,23.5237,20,1
542,23.5232,20,1
542.5,23.5227,20,1
543,23.5222,20,1
543.5,23.5217,20,1
544,23.5212,20,1
544.5,23.5208,20,1
545,23.5203,20,1
545.5,23.5199,20,1
546,23.5194,20,1
546.5,23.519,20,1
547,23.5186,20,1
547.5,23.5182,20,1
548,23.5178,20,1
548.5,23.5174,20,1
549,23.517,20,1
549.5,23.5166,20,1
550,23.5163,20,1
550.5,23.5159,20,1
551,23.5155,20,1
551.5,23.5152,20,1
552,23.5149,20,1
552.5,23.5145,20,1
553,23.5142,20,1
553.5,23.5139,20,1
554,23.5136,20,1
554.5,23.5133,20,1
555,23.513,20,1
555.5,23.5127,20,1
556,23.5124,20,1
556.5,23.5122,20,1
557,23.5119,20,1
557.5,23.5116,20,1
558,23.5114,20,1
558.5,23.5111,20,1
559,23.5109,20,1
559.5,23.5107,20,1
560,23.5104,20,1
560.5,23.5102,20,1
561,23.51,20,1
561.5,23.5097,20,1
562,23.5095,20,1
562.5,23.5093,20,1
563,23.5091,20,1
563.5,23.5089,20,1
564,23.5087,20,1
564.5,23.5085,20,1
565,23.5083,20,1
565.5,23.5082,20,1
566,23.508,20,1
566.5,23.5078,20,1
567,23.5076,20,1
567.5,23.5075,20,1
568,23.5073,20,1
568.5,23.5071,20,1
569,23.507,20,1
569.5,23.5068,20,1
570,23.5067,20,1
570.5,23.5065,20,1
571,23.5064,20,1
571.5,23.5062,20,1
572,23.5061,20,1
572.5,23.506,20,1
573,23.5058,20,1
573.5,23.5057,20,1
574,23.5056,20,1
574.5,23.5055,20,1
575,23.5053,20,1
575.5,23.5052,20,1
576,23.5051,20,1
576.5,23.505,20,1
577,23.5049,20,1
577.5,23.5048,20,1
578,23.5047,20,1
578.5,23.5046,20,1
579,23.5045,20,1
579.5,23.5044,20,1
580,23.5043,20,1
580.5,23.5042,20,1
581,23.5041,20,1
581.5,23.504,20,1
582,23.5039,20,1
582.5,23.5038,20,1
583,23.5037,20,1
583.5,23.5037,20,1
584,23.5036,20,1
584.5,23.5035,20,1
585,23.5034,20,1
585.5,23.5034,20,1
586,23.5033,20,1
586.5,23.5032,20,1
587,23.5031,20,1
587.5,23.5031,20,1
588,23.503,20,1
588.5,23.5029,20,1
589,23.5029,20,1
589.5,23.5028,20,1
590,23.5027,20,1
590.5,23.5027,20,1
591,23.5026,20,1
591.5,23.5026,20,1
592,23.5025,20,1
592.5,23.5025,20,1
593,23.5024,20,1
593.5,23.5023,20,1
594,23.5023,20,1
594.5,23.5022,20,1
595,23.5022,20,1
595.5,23.5021,20,1
596,23.5021,20,1
596.5,23.5021,20,1
597,23.502,20,1
597.5,23.502,20,1
598,23.5019,20,1
598.5,23.5019,20,1
599,23.5018,20,1
599.5,23.5018,20,1
600,23.5018,20,1
