"time","airHeaterTextWithIO.T_Out_ext","airHeaterTextWithIO.T_amb_ext","airHeaterTextWithIO.u_ext","Reference.y"
0,20,20,0,20
1.2,20,20,0,20
2.4,20,20,0,20
3.6,20,20,0,20
4.8,20,20,0,20
6,20,20,0,20
7.2,20,20,0,20
8.4,20,20,0,20
9.6,20,20,0,20
10.8,20,20,0,20
12,20,20,0,20
13.2,20,20,0,20
14.4,20,20,0,20
15.6,20,20,0,20
16.8,20,20,0,20
18,20,20,0,20
19.2,20,20,0,20
20.4,20,20,0,20
21.6,20,20,0,20
22.8,20,20,0,20
24,20,20,0,20
25.2,20,20,0,20
26.4,20,20,0,20
27.6,20,20,0,20
28.8,20,20,0,20
30,20,20,0,20
31.2,20,20,0,20
32.4,20,20,0,20
33.6,20,20,0,20
34.8,20,20,0,20
36,20,20,0,20
37.2,20,20,0,20
38.4,20,20,0,20
39.6,20,20,0,20
40.8,20,20,0,20
42,20,20,0,20
43.2,20,20,0,20
44.4,20,20,0,20
45.6,20,20,0,20
46.8,20,20,0,20
48,20,20,0,20
49.2,20,20,0,20
50.4,20,20,0,20
51.6,20,20,0,20
52.8,20,20,0,20
54,20,20,0,20
55.2,20,20,0,20
56.4,20,20,0,20
57.6,20,20,0,20
58.8,20,20,0,20
60,20,20,0,20
61.2,20,20,0,20
62.4,20,20,0,20
63.6,20,20,0,20
64.8,20,20,0,20
66,20,20,0,20
67.2,20,20,0,20
68.40000000000001,20,20,0,20
69.59999999999999,20,20,0,20
70.8,20,20,0,20
72,20,20,0,20
73.2,20,20,0,20
74.40000000000001,20,20,0,20
75.59999999999999,20,20,0,20
76.8,20,20,0,20
78,20,20,0,20
79.2,20,20,0,20
80.40000000000001,20,20,0,20
81.59999999999999,20,20,0,20
82.8,20,20,0,20
84,20,20,0,20
85.2,20,20,0,20
86.40000000000001,20,20,0,20
87.59999999999999,20,20,0,20
88.8,20,20,0,20
90,20,20,0,20
91.2,20,20,0,20
92.40000000000001,20,20,0,20
93.59999999999999,20,20,0,20
94.8,20,20,0,20
96,20,20,0,20
97.2,20,20,0,20
98.40000000000001,20,20,0,20
99.59999999999999,20,20,0,20
100.0000000101023,20,20,0,20
100.0000000101023,20,18,0,20
100.8,19.93162974786066,18,0.1102305368141737,20
102,19.83343296182652,18,0.2818091327853569,20
103.2,19.74062600819347,18,0.4599016094387411,20
104.4,19.67202371906556,18,0.6131804692203111,20
105.6,19.63745642253842,18,0.7214050385806344,20
106.8,19.63559156256974,18,0.7814145848754809,20
108,19.66065722035465,18,0.7975000799754354,20
109.2,19.70358994206471,18,0.7802853132213827,20
110.4,19.75506652636139,18,0.7422636198207175,20
111.6,19.8069674410146,18,0.6954242369130788,20
112.8,19.85345659253347,18,0.6492923665730236,20
114,19.89106565813693,18,0.6104240056085452,20
115.2,19.91865224284216,18,0.5821015867293117,20
116.4,19.93678501347835,18,0.5649760852236758,20
117.6,19.94714780473112,18,0.557775979887174,20
118.8,19.95196460762234,18,0.5580729480650019,20
120,19.95347036898983,18,0.5630695733811696,20
121.2,19.95357335438224,18,0.5701506818414739,20
122.4,19.95369771483852,18,0.5771939840240925,20
123.6,19.95462879214561,18,0.5829014028191449,20
124.8,19.95671182593964,18,0.5865790130034688,20
126,19.95990656951617,18,0.5881118225452615,20
127.2,19.96393731808682,18,0.5877745088618899,20
128.4,19.96841562130313,18,0.5860697568496437,20
129.6,19.97294686417739,18,0.5835732146462286,20
130.8,19.97720184563758,18,0.5808178732091351,20
132,19.98094986975334,18,0.5782270042704687,20
133.2,19.9840712802882,18,0.5760771327552859,20
134.4,19.98655329815799,18,0.5744880515361526,20
135.6,19.98845671380382,18,0.5734605778493683,20
136.8,19.98988270900979,18,0.5729196222827239,20
138,19.99095079386578,18,0.5727441471618494,20
139.2,19.9917805393496,18,0.5727943589937917,20
140.4,19.99247173647783,18,0.5729432393748681,20
141.6,19.99309406271551,18,0.5730978123419168,20
142.8,19.9936907084997,18,0.573197946726274,20
144,19.99427987629281,18,0.5732174883958056,20
145.2,19.99486441585508,18,0.5731523141845734,20
146.4,19.99543729159607,18,0.5730150341645122,20
147.6,19.99598538575774,18,0.5728289876958781,20
148.8,19.9964950062312,18,0.5726203766922938,20
150,19.99695488339699,18,0.5724134137972511,20
151.2,19.99735852469035,18,0.5722264802679455,20
152.4,19.99770476143889,18,0.5720704478853728,20
153.6,19.99799668797911,18,0.5719494015842872,20
154.8,19.99824065462959,18,0.5718615407889752,20
156,19.99844458015173,18,0.5718014098041948,20
157.2,19.99861678631924,18,0.5717616062327959,20
158.4,19.9987647846625,18,0.5717347268573593,20
159.6,19.99889453533725,18,0.5717147294887763,20
160.8,19.99901058188886,18,0.5716969582530254,20
162,19.99911601066081,18,0.571678539101638,20
163.2,19.99921256531175,18,0.5716582943851255,20
164.4,19.99930077396073,18,0.5716367549377409,20
165.6,19.99938078309817,18,0.5716149460973722,20
166.8,19.99945240680296,18,0.5715944679824081,20
168,19.99951586474092,18,0.5715761933628972,20
169.2,19.99957209859843,18,0.5715599975473956,20
170.4,19.99962200519726,18,0.5715454745691765,20
171.6,19.99966757077512,18,0.571530468860157,20
172.8,19.99970813928001,18,0.5715165478577099,20
174,19.99974384337895,18,0.571503927524987,20
175.2,19.99977529605043,18,0.5714925796582014,20
176.4,19.99980260637801,18,0.5714829546593502,20
177.6,19.99982628274205,18,0.5714749035348011,20
178.8,19.99984664335212,18,0.571468573281144,20
180,19.99986416938074,18,0.5714636663961302,20
181.2,19.99987934481086,18,0.5714599205456871,20
182.4,19.99989253406164,18,0.5714570774882629,20
183.6,19.99990420657308,18,0.5714546941800703,20
184.8,19.99991461571073,18,0.5714525972363549,20
186,19.99992408600973,18,0.571450415561233,20
187.2,19.99993283161526,18,0.5714480297082497,20
188.4,19.99994104028958,18,0.5714452377936772,20
189.6,19.99994884356597,18,0.5714419085566491,20
190.8,19.99995633540566,18,0.5714379086303593,20
192,19.99996381049087,18,0.5714325160339605,20
193.2,19.99997138623627,18,0.5714257242893896,20
194.4,19.99997923038129,18,0.5714172867934211,20
195.6,19.99998573576968,18,0.5714100859725131,20
196.8,19.99998948248737,18,0.5714066741569054,20
198,19.99999098091175,18,0.5714062006941318,20
199.2,19.99999065585714,18,0.5714082385275833,20
200.0000000201019,19.99999033759871,18,0.5714097736802302,20
200.0000000201019,19.99999033759871,18,5,25
200.4,19.99998917329492,18,5,25
201.6,19.99998580195122,18,5,25
202.8,19.99998291349878,18,5,25
203.0000000201026,20.00001322564946,18,5,25
203.0000000201026,20.00001322564946,18,5,25
204,20.65948935341366,18,5,25
205.2,21.41392156660955,18,5,25
206.4,22.1300024831071,18,5,25
207.6,22.80968092153915,18,5,25
208.8,23.45480883018418,18,5,25
210,24.06714061383759,18,4.377946980046084,25
211.2,24.64834291847897,18,3.571066816671869,25
212.4,25.18590776059802,18,2.744290400064846,25
213.6,25.59489985484103,18,2.043387885510223,25
214.8,25.84310177585262,18,1.541920826430523,25
216,25.93494987638164,18,1.25807190184918,25
217.2,25.89914205010552,18,1.169469375588474,25
218.4,25.77646017115334,18,1.229304323611666,25
219.6,25.60917584915942,18,1.381858643739213,25
220.8,25.43375188990347,18,1.574260270146888,25
222,25.27670609162759,18,1.764192732644188,25
223.2,25.15367071293558,18,1.923050910961013,25
224.4,25.07018932764358,18,2.036332969025414,25
225.6,25.02410379649901,18,2.101318638583044,25
226.8,25.00830172005215,18,2.123776291812848,25
228,25.01331368882299,18,2.114479506260444,25
229.2,25.0297308988016,18,2.085606482571856,25
230.4,25.04953881201768,18,2.048526479222053,25
231.6,25.06693398454773,18,2.01224919395581,25
232.8,25.07856928524689,18,1.982663308525127,25
234,25.08321440106781,18,1.962706503314327,25
235.2,25.08130688654392,18,1.95276961531311,25
236.4,25.07426856025581,18,1.951557317240744,25
237.6,25.06407424566502,18,1.956638021122669,25
238.8,25.05260624047524,18,1.965418394126119,25
240,25.04144895531394,18,1.975497239065529,25
241.2,25.03170180383367,18,1.985018758899422,25
242.4,25.02396793059866,18,1.992768688892847,25
243.6,25.01838333203777,18,1.998204883982798,25
244.8,25.01475228828341,18,2.001308036119759,25
246,25.01266898702014,18,2.002437015056466,25
247.2,25.01165508117514,18,2.002133126140346,25
248.4,25.0112502328156,18,2.000983537004462,25
249.6,25.0110824644279,18,1.99950422053154,25
250.8,25.01088053635639,18,1.998104533467455,25
252,25.01050278484307,18,1.99702411941598,25
253.2,25.00988900960684,18,1.996388570008787,25
254.4,25.00906135614882,18,1.996198716006012,25
255.6,25.00808335060323,18,1.996384713447068,25
256.8,25.00704134766378,18,1.996829553685241,25
258,25.00601520314145,18,1.997412568523475,25
259.2,25.005071321732,18,1.998022019421572,25
260.4,25.00425279055639,18,1.9985737651858,25
261.6,25.00357752050721,18,1.999018656592792,25
262.8,25.00304382111477,18,1.999337403085047,25
264,25.00263518059487,18,1.999534605466574,25
265.2,25.00232536070964,18,1.999632660968263,25
266.4,25.00208584802952,18,1.999662331316404,25
267.6,25.00189202611064,18,1.999653784046515,25
268.8,25.00172548347987,18,1.999631209159368,25
270,25.00157421439538,18,1.999610483286603,25
271.2,25.00143115827267,18,1.999600385183773,25
272.4,25.00129313751547,18,1.99960421933735,25
273.6,25.00115853024631,18,1.99962316235985,25
274.8,25.00102872456484,18,1.999654945578842,25
276,25.00090625116113,18,1.999695107470285,25
277.2,25.00079328470415,18,1.999738838923365,25
278.4,25.0006916963163,18,1.999781690805837,25
279.6,25.00060252646012,18,1.999820186944762,25
280.8,25.00052585002866,18,1.999852147851687,25
282,25.00046084559788,18,1.999876915405883,25
283.2,25.00040626949838,18,1.999894921435233,25
284.4,25.00036115599629,18,1.999905979040038,25
285.6,25.00032368993547,18,1.999911842604423,25
286.8,25.00029272074612,18,1.999912726595916,25
288,25.00026616931807,18,1.999911395808913,25
289.2,25.00024201951135,18,1.999910435378612,25
290.4,25.00021880587265,18,1.999911334833616,25
291.6,25.00019510021297,18,1.999917154065151,25
292.8,25.00016918765506,18,1.999929759515183,25
294,25.00014121869262,18,1.999949961621717,25
295.2,25.00011002663237,18,1.999979622917182,25
296.4,25.00007686287931,18,2.000016799876529,25
297.6,25.00004646500759,18,2.000054094753081,25
298.8,25.00002106794279,18,2.000087963404054,25
300,25.00000238184703,18,2.000113980224366,25
301.2,24.99999320662184,18,2.000127754795906,25
302.4,24.99999457871684,18,2.00012555731647,25
303.6,25.00000793946838,18,2.000103460859622,25
304.8,25.00003259784208,18,2.000061546532547,25
306,25.00005550102725,18,2.000019181085303,25
307.2,25.00007123894904,18,1.999985006195789,25
308.4,25.00007926799414,18,1.999960853658958,25
309.6,25.00007927714709,18,1.999948439420769,25
310.8,25.00007301930809,18,1.999946135218344,25
312,25.00006280766541,18,1.999950997005165,25
313.2,25.00005056627085,18,1.999960676699575,25
314.4,25.00003813423088,18,1.999972343580287,25
315.6,25.00002735567689,18,1.999983544782627,25
316.8,25.00001884638316,18,1.999992431021271,25
318,25.00001431960683,18,1.999996556215359,25
319.2,25.00001249530299,18,1.999996889037839,25
320.4,25.00001446765896,18,1.999991528580267,25
321.6,25.00001799744046,18,1.999983570961507,25
322.8,25.00002255919334,18,1.999973427299303,25
324,25.000026415201,18,1.999963973566391,25
325.2,25.00002789720663,18,1.999957861379101,25
326.4,25.00002637393755,18,1.999956504760276,25
327.6,25.00002218551055,18,1.999959799212395,25
328.8,25.00001603912639,18,1.999966731171537,25
330,25.00000913548302,18,1.999975980770491,25
331.2,25.00000130377583,18,1.999987597977333,25
332.4,24.99999400161709,18,1.999999522401584,25
333.6,24.99998681022296,18,2.000012284946894,25
334.8,24.99998173992361,18,2.000022495225064,25
336,24.99997799261607,18,2.000031499223367,25
337.2,24.99997715352525,18,2.000035907797872,25
338.4,24.99997867898763,18,2.000036883278257,25
339.6,24.99998254424575,18,2.000033787537848,25
340.8,24.99998874479107,18,2.000026281086064,25
342,24.99999634766286,18,2.000015662637968,25
343.2,25.00000442082583,18,2.00000315660869,25
344.4,25.00001206593377,18,1.999990170826475,25
345.6,25.00001775174988,18,1.999979345387282,25
346.8,25.00002083708739,18,1.999971770543135,25
348,25.00002081098589,18,1.999968942964885,25
349.2,25.0000170406503,18,1.999972030283908,25
350.4,25.00001069146029,18,1.999979907714271,25
351.6,25.00000138427077,18,1.999993495080558,25
352.8,24.99999280574463,18,2.000006990195547,25
354,24.9999869836913,18,2.000017399105512,25
355.2,24.99998343754415,18,2.000024761653335,25
356.4,24.99998374005107,18,2.000026523230047,25
357.6,24.99998609530794,18,2.000024694041657,25
358.8,24.99999010146821,18,2.000019899078903,25
360,24.99999441210159,18,2.000013655155267,25
361.2,24.9999980320028,18,2.000008020636675,25
362.4,25.00000060987544,18,2.000003780121114,25
363.6,25.00000205218467,18,2.000001058737428,25
364.8,25.00000337972368,18,1.999998276137694,25
366,25.00000447193244,18,1.999995368017725,25
367.2,25.00000556414119,18,1.999992459897755,25
368.4,25.00000665634995,18,1.999989551777786,25
369.6,25.00000774090581,18,1.999986641371589,25
370.8,25.00000854340591,18,1.999983646704178,25
372,25.00000934590601,18,1.999980652036761,25
373.2,25.0000101484061,18,1.99997765736935,25
374.4,25.0000109509062,18,1.999974662701938,25
375.6,25.00001141795634,18,1.999972026016569,25
376.8,25.00001175777378,18,1.99996952511009,25
378,25.00001209759122,18,1.999967024203605,25
379.2,25.00001243740865,18,1.999964523297126,25
380.4,25.00000995309986,18,1.999966652833885,25
381.6,25.00000351186048,18,1.999976220548791,25
382.8,24.99999745331903,18,1.999986125997772,25
384,24.99999424023588,18,1.999992330166445,25
385.2,24.99999201842351,18,1.999997185324355,25
386.4,24.99999107435086,18,2.000000054242503,25
387.6,24.99999103848285,18,2.000001511361266,25
388.8,24.99999123020974,18,2.000002577862175,25
390,24.99999184188224,18,2.000002842804035,25
391.2,24.99999267352445,18,2.000002585591355,25
392.4,24.99999346330474,18,2.000002305828353,25
393.6,24.99999409346399,18,2.000001940080145,25
394.8,24.99999472362324,18,2.000001574331931,25
396,24.99999535378249,18,2.000001208583718,25
397.2,24.99999598394174,18,2.000000842835505,25
398.4,24.99999645648965,18,2.000000445466152,25
399.6,24.99999691275482,18,2.000000044830029,25
400.8,24.99999736901999,18,1.999999644193907,25
402,24.99999782528516,18,1.999999243557785,25
403.2,24.9999981274675,18,1.999999001467525,25
404.4,24.99999832903307,18,1.999998862908416,25
405.6,24.99999853059863,18,1.999998724349306,25
406.8,24.9999987321642,18,1.999998585790197,25
408,24.99999881336448,18,1.999998654856142,25
409.2,24.99999861840996,18,1.999999200277489,25
410.4,24.99999844913705,18,1.999999708398435,25
411.6,24.99999842219919,18,2.000000009789604,25
412.8,24.99999839526134,18,2.000000311180774,25
414,24.99999836832348,18,2.000000612571943,25
415.2,24.99999834138562,18,2.000000913963118,25
416.4,24.99999852310079,18,2.000000827545765,25
417.6,24.99999874122002,18,2.000000673466777,25
418.8,24.99999887609438,18,2.000000602546253,25
420,24.99999897541865,18,2.00000056713893,25
421.2,24.99999907474291,18,2.000000531731606,25
422.4,24.99999917406718,18,2.000000496324283,25
423.6,24.99999924903194,18,2.000000478378466,25
424.8,24.99999928735668,18,2.000000486697143,25
426,24.99999932568141,18,2.00000049501582,25
427.2,24.99999936400615,18,2.000000503334497,25
428.4,24.99999940233088,18,2.000000511653174,25
429.6,24.99999944065562,18,2.00000051997185,25
430.8,24.99999947898035,18,2.000000528290527,25
432,24.99999951730509,18,2.000000536609204,25
433.2,24.99999955562982,18,2.000000544927881,25
434.4,24.99999967788291,18,2.000000345516743,25
435.6,24.99999982157523,18,2.000000093041688,25
436.8,24.99999996526755,18,1.999999840566634,25
438,25.00000010895987,18,1.999999588091574,25
439.2,25.0000001533951,18,1.999999528184367,25
440.4,25.00000009661833,18,1.999999664637707,25
441.6,25.00000003984155,18,1.999999801091051,25
442.8,24.99999998306478,18,1.999999937544391,25
444,24.999999926288,18,2.000000073997735,25
445.2,24.99999986951122,18,2.000000210451074,25
446.4,24.99999981273445,18,2.000000346904419,25
447.6,24.99999975595767,18,2.000000483357758,25
448.8,24.9999996991809,18,2.000000619811103,25
450,24.99999977450038,18,2.000000536533408,25
451.2,24.99999987303059,18,2.000000387944957,25
452.4,24.99999997318941,18,2.000000230665036,25
453.6,25.00000005264661,18,2.000000097957872,25
454.8,25.0000000861686,18,2.000000031277216,25
456,25.00000009506839,18,2.000000001785683,25
457.2,25.00000009848321,18,1.999999981902341,25
458.4,25.00000009492301,18,1.999999974237347,25
459.6,25.00000009136281,18,1.999999966572354,25
460.8,25.0000000878026,18,1.999999958907365,25
462,25.00000008375446,18,1.999999952333078,25
463.2,25.00000007667881,18,1.999999952526126,25
464.4,25.00000006960317,18,1.999999952719168,25
465.6,25.00000005800092,18,1.99999996190592,25
466.8,25.00000004847443,18,1.999999970732769,25
468,25.00000003915157,18,1.999999979514854,25
469.2,25.00000003348984,18,1.999999984896101,25
470.4,25.00000002897134,18,1.999999989215407,25
471.6,25.00000002445283,18,1.999999993534714,25
472.8,25.00000001993432,18,1.999999997854021,25
474,25.00000001715362,18,1.999999999923467,25
475.2,25.00000001640771,18,1.999999999358572,25
476.4,25.00000001566179,18,1.999999998793683,25
477.6,25.00000001491588,18,1.999999998228788,25
478.8,25.00000001416996,18,1.999999997663894,25
480,25.00000001342405,18,1.999999997099005,25
481.2,25.00000001267813,18,1.99999999653411,25
482.4,25.00000001193222,18,1.999999995969216,25
483.6,25.0000000111863,18,1.999999995404326,25
484.8,25.00000001155108,18,1.999999992790821,25
486,25.00000001209993,18,1.999999989837801,25
487.2,25.00000001264879,18,1.999999986884776,25
488.4,25.00000001319764,18,1.999999983931757,25
489.6,25.0000000117537,18,1.999999984653624,25
490.8,25.00000000872114,18,1.999999988305061,25
492,25.00000000616156,18,1.999999991726872,25
493.2,25.00000000429478,18,1.999999994812337,25
494.4,25.000000002428,18,1.999999997897803,25
495.6,25.00000000056122,18,2.000000000983269,25
496.8,24.99999999890733,18,2.000000003712271,25
498,24.9999999990813,18,2.000000003380679,25
499.2,24.99999999925528,18,2.000000003049082,25
500.4,24.99999999942926,18,2.000000002717485,25
501.6,24.99999999960323,18,2.000000002385887,25
502.8,24.99999999977721,18,2.00000000205429,25
504,24.99999999995118,18,2.000000001722698,25
505.2,25.00000000012516,18,2.000000001391101,25
506.4,25.00000000029913,18,2.000000001059504,25
507.6,25.00000000043058,18,2.000000000674213,25
508.8,25.00000000051976,18,2.000000000235545,25
510,25.00000000060894,18,1.999999999796878,25
511.2,25.00000000069811,18,1.999999999358212,25
512.4,25.00000000078729,18,1.999999998919545,25
513.6,25.00000000087647,18,1.999999998480878,25
514.8,25.00000000096564,18,1.999999998042211,25
516,25.00000000105482,18,1.999999997603544,25
517.2,25.000000001144,18,1.999999997164877,25
518.4,25.00000000123317,18,1.99999999672621,25
519.6,25.00000000132235,18,1.999999996287543,25
520.8,25.00000000141153,18,1.999999995848876,25
522,25.0000000015007,18,1.999999995410209,25
523.2,25.00000000158988,18,1.999999994971542,25
524.4,25.00000000167906,18,1.999999994532875,25
525.6,25.00000000176823,18,1.999999994094208,25
526.8,25.00000000185741,18,1.999999993655541,25
528,25.0000000008187,18,1.999999995345943,25
529.2,24.999999997096,18,2.000000002102805,25
530.4,24.99999999402724,18,2.000000007763386,25
531.6,24.99999999480873,18,2.000000006969316,25
532.8,24.99999999559022,18,2.00000000617524,25
534,24.99999999637171,18,2.000000005381169,25
535.2,24.9999999971532,18,2.000000004587099,25
536.4,24.99999999783155,18,2.000000003207401,25
537.6,24.99999999849081,18,2.000000001719274,25
538.8,24.99999999915006,18,2.000000000231152,25
540,24.99999999980932,18,1.999999998743024,25
541.2,25.00000000046857,18,1.999999997254902,25
542.4,25.00000000112782,18,1.99999999576678,25
543.6,25.00000000178708,18,1.999999994278652,25
544.8,25.00000000244633,18,1.999999992790531,25
546,25.00000000328023,18,1.999999990806151,25
547.2,25.00000000466429,18,1.999999987258616,25
548.4,25.00000000604834,18,1.999999983711082,25
549.6,25.00000000743239,18,1.999999980163547,25
550.8,25.00000000881644,18,1.999999976616012,25
552,25.00000000505861,18,1.999999982378664,25
553.2,25.00000000097005,18,1.99999998874016,25
554.4,24.99999999885266,18,1.999999992868179,25
555.6,24.99999999726285,18,1.999999996398416,25
556.8,24.99999999567304,18,1.999999999928654,25
558,24.99999999408323,18,2.000000003458896,25
559.2,24.99999999354595,18,2.000000004974666,25
560.4,24.99999999411537,18,2.000000004372315,25
561.6,24.9999999946848,18,2.000000003769963,25
562.8,24.99999999525422,18,2.000000003167611,25
564,24.99999999582364,18,2.000000002565259,25
565.2,24.99999999639306,18,2.000000001962908,25
566.4,24.99999999696249,18,2.00000000136055,25
567.6,24.99999999753191,18,2.000000000758198,25
568.8,24.99999999810133,18,2.000000000155847,25
570,24.9999999981838,18,2.000000000268065,25
571.2,24.99999999820279,18,2.000000000473452,25
572.4,24.99999999822177,18,2.000000000678839,25
573.6,24.99999999824075,18,2.000000000884231,25
574.8,24.99999999825973,18,2.000000001089618,25
576,24.99999999827871,18,2.000000001295005,25
577.2,24.99999999829769,18,2.000000001500392,25
578.4,24.99999999831667,18,2.000000001705785,25
579.6,24.99999999833565,18,2.000000001911172,25
580.8,24.99999999835464,18,2.000000002116558,25
582,24.99999999837362,18,2.000000002321945,25
583.2,24.9999999983926,18,2.000000002527337,25
584.4,24.99999999841158,18,2.000000002732724,25
585.6,24.99999999843056,18,2.000000002938112,25
586.8,24.99999999844954,18,2.000000003143498,25
588,24.99999999846852,18,2.000000003348891,25
589.2,24.9999999984875,18,2.000000003554278,25
590.4,24.99999999893718,18,2.000000002938946,25
591.6,24.99999999959046,18,2.00000000193566,25
592.8,25.00000000003119,18,2.00000000117496,25
594,25.00000000028217,18,2.000000000630828,25
595.2,25.00000000053316,18,2.000000000086695,25
596.4,25.00000000078414,18,1.999999999542563,25
597.6,25.00000000095423,18,1.999999999156768,25
598.8,25.00000000084871,18,1.999999999310395,25
600,25.00000000074319,18,1.999999999464027,25
600,25.00000000074319,18,1.999999999464027,25
